"Customer";"Location";"All Time Work";"Number of sensors";"TempSen";"HumpSen";"LightSen";"AcousticsSen";"AccSen";"GyrSen";"MagSen";"Power";"Wi-Fi";"BT";"JTAG";"Board";"iOSapp";"AndroidApp";"DataGetParammetrs"
"Iot_Festo:6";"Department:9";53249802;43;2;71;8340;21;-1941;88;56;"3";"no";"no";"yes";"ESP8266";"yes";"yes";"2019-02-18"
"PLC_XDK.3";"Room.27";216646908;49;34;82;3401;51;2955;25;48;"3";"yes";"no";"no";"STM32";"yes";"yes";"2019-06-24"
"u_XDK Bosch-18";"Department35";755275540;5;31;73;3421;92;-1213;64;49;"220";"no";"no";"no";"STM32";"yes";"no";"2019-01-11"
"machineCISS Bosch8";"Room.31";406634707;38;19;29;7643;94;-1926;25;40;"3";"yes";"yes";"no";"ESP8266";"yes";"no";"2020-05-15"
"PLCXDK22";"Workshop#2";38939443;25;45;86;590;82;1672;68;48;"5";"no";"yes";"no";"STM32";"no";"no";"2018-12-23"
"u_CISS Bosch.17";"Workshop19";482671614;38;53;61;9781;60;-2285;51;33;"5";"no";"yes";"yes";"ESP8266";"yes";"yes";"2020-09-24"
"u_XDK16";"Workshop-15";552159498;36;18;42;1983;32;-2575;90;88;"3";"no";"no";"yes";"ESP32";"no";"no";"2020-08-17"
"PLC__12";"Place_7";314524907;47;33;75;3296;81;-1884;28;52;"3";"yes";"no";"no";"ESP8266";"yes";"no";"2020-04-10"
"PLCCNC_21";"Station#38";157300285;10;32;72;8043;41;-2740;30;60;"5";"no";"no";"no";"ESP8266";"no";"yes";"2019-07-10"
"PLC_SensXiom-12";"Workshop41";278765751;16;5;82;9710;99;3018;35;61;"5";"no";"no";"no";"ESP32";"yes";"yes";"2019-10-28"
"Iot_OSISoftIoT:23";"Station11";820046424;46;20;98;9062;64;-3004;72;53;"3";"no";"no";"yes";"ESP32";"yes";"no";"2020-01-04"
"CustomerBosch/14";"Station.10";481723180;1;45;84;6603;49;1336;26;31;"5";"yes";"no";"no";"ESP32";"no";"no";"2019-01-13"
"CustomerIoT:19";"Room.8";624395629;26;49;71;7566;36;1721;65;44;"3";"yes";"yes";"yes";"STM";"yes";"yes";"2019-07-28"
"CustomerFanucIoT-8";"Workshop.7";465572697;17;37;62;4050;50;-1138;51;22;"3";"yes";"no";"yes";"STM32";"yes";"yes";"2019-09-29"
"PLC_SensXiom-4";"Workshop5";864692136;34;45;97;4954;18;-2541;61;69;"5";"yes";"yes";"yes";"ESP32";"no";"no";"2019-06-29"
"machineGPDI513";"Room/30";753289896;18;12;33;129;64;683;18;70;"220";"no";"yes";"no";"ESP8266";"yes";"no";"2020-02-13"
"machineBosch:12";"Department#42";831347986;36;39;52;5467;18;-363;42;20;"5";"yes";"yes";"yes";"STM";"yes";"no";"2020-03-07"
"Iot_XDK Bosch#19";"Place#14";869111327;28;-1;47;2664;58;1220;96;57;"220";"yes";"no";"yes";"STM";"no";"yes";"2020-10-05"
"PLCNewGenIoT20";"Place/35";462664565;43;11;58;5631;20;-2323;23;66;"5";"yes";"yes";"no";"STM";"no";"no";"2019-04-03"
"u_OSISoftIoT/21";"Room12";526871544;28;-3;88;2293;63;-812;38;75;"5";"no";"yes";"no";"ESP8266";"yes";"yes";"2019-12-30"
"CustomerIoT#9";"Place-17";306422742;39;8;45;3238;46;-707;94;46;"220";"yes";"yes";"no";"STM32";"yes";"no";"2019-11-01"
"Iot_GPDI51/6";"Room_27";828324492;28;11;68;3448;33;661;29;85;"5";"yes";"yes";"no";"STM";"yes";"no";"2019-10-05"
"machineIoT:15";"Workshop.31";843955780;3;27;39;1865;89;611;78;21;"5";"no";"yes";"yes";"ESP8266";"no";"no";"2020-08-29"
"PLC_GPDI51_1";"Department_27";798597499;43;0;94;2309;41;-337;63;40;"3";"no";"yes";"yes";"ESP8266";"no";"no";"2019-12-05"
"PLC_Fanuc#9";"Workshop4";534967653;32;0;68;1637;56;-2611;57;36;"3";"yes";"yes";"no";"STM";"yes";"yes";"2019-05-17"
"Iot_XDK.3";"Station.15";386786738;11;52;30;6528;98;-1625;25;43;"5";"no";"no";"yes";"ESP32";"no";"no";"2018-12-14"
"CustomerCNC.6";"Station-29";660196544;33;7;89;1542;28;53;37;65;"3";"yes";"yes";"no";"STM";"yes";"no";"2020-07-13"
"PLCCISS Bosch-15";"Station.4";573439802;5;11;90;4737;77;-402;83;97;"220";"yes";"no";"no";"STM";"no";"no";"2020-10-09"
"u_FestoR267.3";"Room/18";194936113;18;47;73;6046;92;1275;24;73;"220";"yes";"yes";"no";"ESP8266";"no";"no";"2019-12-27"
"PLCNewGenIoT-1";"Room-28";43066743;42;26;45;4472;85;-1834;22;44;"5";"yes";"no";"yes";"ESP32";"yes";"no";"2020-10-07"
"CustomerNewGenIoT:9";"Station/30";768655318;41;37;41;3871;39;-2881;56;100;"5";"no";"no";"no";"ESP8266";"no";"yes";"2018-11-06"
"PLCFanuc:7";"Room2";157680153;43;6;38;1835;61;-313;23;55;"3";"yes";"yes";"yes";"ESP8266";"no";"no";"2019-01-07"
"PLC_Fanuc.3";"Place#29";768270617;38;21;57;3397;42;201;32;66;"3";"yes";"yes";"yes";"STM32";"no";"yes";"2020-05-08"
"PLCGPDI5115";"Station#34";889622312;48;15;87;8681;34;2133;63;82;"220";"no";"yes";"no";"STM";"yes";"yes";"2020-08-09"
"CustomerFanucIoT21";"Workshop#17";361903906;41;40;54;6471;51;-491;78;30;"5";"no";"yes";"yes";"STM32";"yes";"yes";"2019-09-01"
"PLC_Festo:13";"Room#37";405289146;24;32;50;9101;58;952;70;76;"3";"no";"no";"yes";"STM32";"yes";"yes";"2020-04-30"
"PLC_NewGenIoT:22";"Department:16";341824163;43;27;99;4050;33;2038;29;60;"220";"no";"yes";"no";"ESP8266";"yes";"yes";"2020-07-28"
"machineIIoT19";"Place7";348269806;47;21;32;312;58;-1626;28;26;"220";"yes";"yes";"yes";"STM32";"yes";"no";"2020-06-27"
"CustomerIIoT.4";"Place-11";474425814;25;44;72;4702;65;-1182;60;60;"220";"yes";"no";"yes";"ESP32";"no";"yes";"2020-03-28"
"CustomerVersaIoT.18";"Station:41";747273789;38;9;60;8857;81;-776;30;80;"3";"no";"no";"no";"STM";"no";"yes";"2020-02-24"
"Iot_VersaIoT.2";"Place12";177204135;43;54;63;3061;95;2393;22;52;"220";"yes";"no";"yes";"ESP8266";"no";"yes";"2018-10-27"
"PLC_CISS Bosch.7";"Workshop34";675756852;24;35;99;9956;71;-754;52;77;"5";"yes";"no";"yes";"STM";"yes";"no";"2020-02-14"
"Iot_Siemens10";"Workshop#6";219633426;33;43;87;3966;65;852;88;95;"5";"no";"no";"yes";"ESP32";"yes";"no";"2019-11-14"
"u_Festo:15";"Workshop#7";515044958;44;37;54;2786;38;-1696;24;19;"3";"yes";"no";"no";"STM32";"no";"yes";"2020-07-31"
"PLC_Bosch#19";"Room-26";586781871;38;14;54;1341;22;-2493;82;73;"3";"no";"yes";"no";"ESP32";"yes";"no";"2020-08-30"
"CustomerNewGenIoT13";"Room-16";742865181;25;34;98;1135;18;-1529;60;44;"220";"yes";"yes";"no";"STM";"no";"no";"2019-07-12"
"PLCFesto:1";"Department_21";822479770;31;51;54;7360;19;2242;95;87;"5";"no";"yes";"no";"STM";"yes";"yes";"2019-05-04"
"u_Siemens18";"Room12";685811138;35;46;45;3187;73;2204;92;86;"220";"no";"no";"no";"STM";"no";"yes";"2020-05-16"
"machineXDK Bosch19";"Workshop-8";362297242;28;41;90;8165;94;2323;74;27;"5";"no";"yes";"no";"STM32";"yes";"yes";"2019-07-06"
"u_Siemens:16";"Room.4";399855975;7;48;51;7587;97;1180;67;100;"220";"yes";"yes";"yes";"ESP32";"no";"no";"2020-04-25"
"PLC_OSISoftIoT_4";"Room:38";13458435;28;23;27;8743;97;-128;92;57;"5";"yes";"yes";"yes";"ESP32";"yes";"no";"2020-09-02"
"CustomerCNC13";"Place_5";893577992;27;9;93;4385;29;856;59;83;"3";"no";"yes";"yes";"ESP32";"yes";"no";"2018-12-14"
"CustomerVersaIoT.4";"Place.18";496530345;36;-3;52;2376;23;-1752;18;53;"220";"yes";"yes";"yes";"ESP8266";"yes";"yes";"2019-03-24"
"Iot_IoT_13";"Workshop#30";736710724;24;-2;47;8402;58;1859;17;39;"5";"no";"yes";"no";"ESP32";"yes";"yes";"2020-10-08"
"CustomerIoTSiemens/13";"Station-34";730914964;14;36;92;4904;43;-1993;60;71;"5";"yes";"yes";"no";"STM32";"yes";"no";"2020-01-10"
"Iot_VersaIoT_8";"Station/6";532110214;39;14;74;5864;89;-2893;86;96;"5";"no";"no";"no";"ESP32";"yes";"no";"2019-04-17"
"PLCGPDI51/1";"Place30";859490972;13;-1;35;6561;35;-2024;88;37;"3";"yes";"no";"no";"STM32";"no";"yes";"2019-04-30"
"machineXDK Bosch14";"Workshop-14";93872450;23;20;40;2313;97;-250;70;31;"220";"yes";"no";"no";"STM32";"yes";"no";"2020-07-11"
"u_XDK/2";"Station#15";344269885;26;48;59;1249;76;-3062;29;36;"220";"yes";"yes";"yes";"ESP32";"yes";"yes";"2019-02-14"
"CustomerIIoT_5";"Place:36";505098524;10;1;48;4698;72;2059;43;31;"220";"no";"yes";"yes";"ESP32";"no";"yes";"2020-07-11"
"PLC_IoT:15";"Room/17";368905454;12;47;89;8331;71;-118;83;34;"5";"yes";"yes";"yes";"ESP32";"yes";"no";"2019-12-22"
"PLCCNC7";"Room30";316780893;13;28;72;6519;34;-1343;100;80;"3";"no";"no";"no";"STM32";"yes";"yes";"2019-10-09"
"u_Bosch6";"Department_39";798375506;3;17;92;7171;44;-5;66;27;"5";"no";"no";"yes";"STM";"yes";"yes";"2019-01-05"
"PLCXDK Bosch.5";"Station.40";835774772;38;36;41;4222;96;1527;99;36;"3";"no";"yes";"no";"ESP8266";"no";"no";"2018-12-28"
"CustomerIoTSiemens#9";"Place42";744970933;47;38;76;666;100;532;80;40;"5";"no";"no";"yes";"STM";"yes";"no";"2019-07-02"
"CustomerVersaIoT#17";"Room#21";317924428;18;7;39;6663;27;1552;49;21;"5";"no";"no";"no";"STM32";"no";"yes";"2020-09-05"
"PLC_IIoT11";"Station2";136467648;25;47;35;1852;88;2133;89;44;"5";"no";"no";"no";"ESP8266";"no";"no";"2019-11-25"
"machineCISS Bosch/23";"Department25";547078248;15;13;74;647;43;-1725;20;91;"5";"no";"no";"yes";"ESP8266";"no";"yes";"2020-10-20"
"PLC_IoT.11";"Station/2";79299445;41;4;77;4186;25;2972;20;85;"3";"yes";"no";"yes";"ESP32";"no";"no";"2019-11-11"
"u_FestoR267.6";"Department:28";440135227;8;52;28;4746;40;2490;56;92;"220";"yes";"yes";"yes";"STM";"no";"no";"2019-01-19"
"u_SensXiom.19";"Room/7";100272290;24;3;57;743;53;-2107;45;95;"220";"no";"yes";"yes";"ESP8266";"yes";"yes";"2019-06-18"
"CustomerBosch:11";"Room#19";341253588;49;10;43;6566;55;-2239;92;32;"220";"yes";"yes";"no";"STM32";"no";"no";"2019-12-29"
"machineXDK Bosch-10";"Workshop_34";667780135;24;13;97;7339;43;1546;35;44;"5";"yes";"yes";"no";"ESP32";"yes";"no";"2019-06-10"
"PLCIoTSiemens20";"Station40";193199721;44;0;45;6694;37;-1077;84;83;"220";"yes";"yes";"yes";"STM32";"yes";"no";"2020-04-27"
"PLCGPDI5117";"Department.33";482866466;23;47;48;1816;42;255;71;83;"5";"yes";"no";"no";"ESP32";"no";"no";"2019-01-31"
"PLC_SensXiom12";"Room:41";256463583;11;3;59;7982;96;1796;90;23;"3";"yes";"yes";"no";"STM32";"yes";"no";"2019-12-26"
"PLC_Siemens12";"Place-36";759923720;44;28;51;4169;63;2467;85;17;"3";"no";"no";"yes";"STM";"yes";"no";"2019-07-12"
"PLCFestoR267_4";"Place-2";485834945;40;25;28;7553;19;-2315;46;25;"3";"yes";"no";"no";"ESP32";"yes";"yes";"2020-07-20"
"PLC_VersaIoT.23";"Workshop-19";470930520;45;51;38;3498;32;-2845;26;89;"3";"yes";"no";"no";"ESP8266";"no";"yes";"2020-10-12"
"PLCSiemens-5";"Station-36";774243092;8;25;29;6145;46;-2874;36;98;"3";"yes";"no";"no";"STM";"yes";"no";"2019-12-20"
"u_CNC2";"Workshop22";283062338;36;4;62;9750;58;2909;93;40;"3";"yes";"yes";"no";"STM32";"no";"no";"2019-04-02"
"PLCGPDI51:2";"Workshop_9";377733245;4;49;25;200;44;-595;39;32;"3";"yes";"yes";"yes";"STM";"no";"yes";"2020-07-08"
"machineVersaIoT/2";"Place/31";409849880;14;31;70;4879;95;3074;68;47;"220";"yes";"yes";"no";"STM32";"no";"yes";"2020-02-07"
"PLC_XDK-19";"Place6";581027574;4;41;39;5100;95;-2851;68;87;"5";"no";"yes";"no";"STM";"no";"yes";"2019-12-26"
"PLC_Fanuc8";"Station:34";797241677;30;39;99;8817;88;-1839;27;92;"5";"no";"no";"yes";"ESP8266";"yes";"yes";"2020-01-26"
"machineIoT_2";"Department_36";281216000;46;4;30;1827;58;-733;70;56;"5";"yes";"yes";"yes";"STM";"yes";"no";"2019-06-07"
"Iot_IoT/22";"Department31";253780699;14;18;26;1922;35;2948;99;80;"5";"yes";"yes";"no";"STM";"yes";"no";"2019-10-07"
"PLCFanuc_23";"Workshop:5";327682640;41;31;81;2908;44;1389;19;98;"5";"yes";"yes";"no";"ESP8266";"no";"yes";"2019-01-06"
"Iot_Fanuc:21";"Room#22";762208979;24;17;74;5614;20;-2273;32;20;"220";"no";"no";"no";"ESP8266";"yes";"yes";"2020-02-02"
"CustomerBosch3";"Place_36";451751400;31;44;94;3001;93;-1205;38;33;"220";"no";"no";"no";"STM32";"no";"yes";"2020-07-07"
"Customer/6";"Station:16";667164357;26;21;66;559;97;-1680;48;77;"5";"yes";"yes";"no";"STM";"no";"no";"2019-08-21"
"Customer#22";"Place/2";794192423;22;38;30;466;37;1423;58;85;"3";"no";"yes";"yes";"STM";"yes";"no";"2019-06-30"
"Iot_Bosch#11";"Place26";649649359;24;6;78;8447;27;-1121;61;19;"3";"no";"no";"no";"ESP32";"yes";"yes";"2020-01-17"
"u_Fanuc:14";"Department.23";765084035;32;34;86;3909;35;-1622;53;34;"3";"no";"no";"yes";"ESP32";"no";"yes";"2019-05-03"
"PLC#22";"Station.18";484955234;3;4;35;5261;39;-2084;49;82;"5";"no";"yes";"yes";"STM32";"yes";"yes";"2019-06-09"
"machineFanucIoT-10";"Station-14";36889659;46;45;83;6137;75;1012;62;92;"5";"no";"no";"no";"STM32";"yes";"no";"2019-03-18"
"machineFanuc-14";"Department#9";644802975;46;54;35;6665;61;-1122;61;52;"3";"yes";"no";"yes";"ESP8266";"no";"no";"2019-03-23"
"u_16";"Room/23";368730562;48;37;39;2985;21;-700;73;67;"5";"yes";"yes";"yes";"ESP8266";"no";"yes";"2020-07-26"
"PLCSiemens_16";"Room#24";136038365;30;34;57;1710;82;280;48;58;"5";"yes";"yes";"no";"ESP8266";"yes";"yes";"2019-03-21"
"PLC1";"Department_24";688980575;9;53;65;3635;90;-1373;26;27;"5";"yes";"no";"yes";"STM";"no";"no";"2018-11-21"
"machine/14";"Place#14";511258676;32;13;68;6099;20;2265;85;34;"3";"yes";"no";"no";"STM";"yes";"no";"2020-02-14"
"machineBosch19";"Place_22";167960665;32;35;70;469;17;-468;37;81;"3";"yes";"no";"yes";"STM";"no";"yes";"2020-03-20"
"machineXDK Bosch:20";"Station:34";644401123;46;9;74;1233;55;-2838;100;22;"3";"yes";"no";"no";"ESP8266";"yes";"no";"2019-05-16"
"Iot_FanucIoT-15";"Room-14";562998695;11;10;30;6754;75;-1788;18;58;"220";"yes";"yes";"no";"ESP8266";"yes";"yes";"2019-11-01"
"Iot_XDK Bosch21";"Department:22";739048077;1;10;57;6443;28;-1585;45;68;"3";"no";"yes";"yes";"ESP32";"no";"yes";"2018-12-19"
"machineGPDI51#6";"Station40";384673698;18;-1;57;4553;46;-2618;20;74;"5";"no";"yes";"yes";"ESP32";"no";"no";"2019-01-04"
"PLC_SensXiom-11";"Place.36";691153387;19;14;40;7029;79;-1809;85;24;"3";"yes";"no";"no";"ESP8266";"yes";"yes";"2020-04-06"
"PLC_20";"Station/34";486578806;14;40;58;1571;43;-1756;87;78;"3";"no";"no";"no";"STM";"no";"yes";"2020-06-06"
"Iot_Fanuc#12";"Room_2";855445165;2;5;56;4296;18;1550;79;47;"5";"yes";"no";"no";"ESP8266";"no";"no";"2019-02-05"
"u_CNC21";"Department_33";655112117;7;34;41;4749;51;-1149;38;27;"220";"no";"yes";"yes";"ESP32";"yes";"no";"2020-09-07"
"Iot_VersaIoT#18";"Station_33";857140629;18;44;87;5481;76;-927;81;20;"5";"no";"yes";"yes";"ESP32";"no";"yes";"2019-02-20"
"PLCCISS Bosch:22";"Workshop/33";262087615;46;47;30;4723;45;2098;82;43;"3";"yes";"no";"no";"ESP32";"yes";"yes";"2020-10-13"
"PLCCNC.4";"Room.41";508050268;11;5;31;6167;70;-2147;17;20;"5";"no";"no";"no";"STM";"yes";"no";"2018-11-26"
"u_XDK-23";"Workshop:34";77849967;7;31;46;5587;44;-2768;53;67;"220";"no";"yes";"yes";"STM32";"yes";"yes";"2020-08-11"
"Iot_IIoT#9";"Place#8";12033881;18;16;49;4821;51;465;21;66;"3";"no";"yes";"no";"ESP32";"yes";"yes";"2018-12-28"
"Iot_CNC/11";"Station.10";728665051;22;52;62;9011;93;-1950;21;27;"3";"yes";"yes";"yes";"STM32";"yes";"no";"2020-09-23"
"machineFestoR267/6";"Workshop40";531341722;16;26;87;9428;66;-1017;42;54;"220";"yes";"no";"no";"ESP8266";"no";"no";"2020-04-22"
"u_XDK Bosch/7";"Department-8";706017451;33;8;27;7772;83;1849;56;66;"5";"yes";"yes";"yes";"STM32";"yes";"yes";"2020-10-12"
"PLC_XDK#21";"Department3";668814510;37;20;51;8786;92;1378;35;35;"5";"yes";"yes";"no";"STM32";"yes";"no";"2020-08-01"
"machineCNC.17";"Workshop27";530537041;46;45;59;2458;94;-759;91;57;"220";"no";"yes";"yes";"STM";"no";"no";"2019-12-20"
"PLCSensXiom.7";"Department.8";510040959;37;36;89;4815;44;1057;80;93;"3";"yes";"yes";"no";"STM";"no";"yes";"2020-04-09"
"machineIoT14";"Place/24";779943471;11;31;50;3072;44;-328;34;40;"3";"yes";"no";"yes";"ESP32";"no";"no";"2019-08-26"
"PLCXDK Bosch-14";"Workshop-26";172013610;41;54;94;3760;41;341;39;36;"3";"no";"no";"yes";"STM";"yes";"yes";"2020-08-07"
"Customer9";"Place/3";149085666;11;26;42;3572;40;-632;66;99;"3";"yes";"yes";"yes";"STM32";"no";"no";"2020-04-26"
"PLCCISS Bosch/3";"Department.16";791370037;24;37;81;6117;20;-2717;98;53;"3";"no";"no";"no";"STM";"no";"no";"2019-12-08"
"CustomerCNC#20";"Place.34";17037079;15;27;31;5769;37;-2691;91;71;"3";"yes";"yes";"yes";"ESP32";"no";"yes";"2019-05-29"
"u_IoT:21";"Room.34";350799210;9;31;42;5003;88;2658;70;29;"220";"no";"no";"no";"STM";"no";"yes";"2019-12-06"
"CustomerFanuc8";"Department-35";424996252;11;-2;96;256;74;-3055;21;70;"3";"yes";"no";"yes";"STM32";"no";"no";"2020-07-18"
"Iot_CNC15";"Room-5";382629315;43;12;67;6778;58;2200;87;42;"5";"yes";"no";"no";"ESP8266";"no";"yes";"2019-04-27"
"Iot_5";"Workshop/19";855740598;48;49;87;718;31;-1857;18;46;"5";"no";"yes";"no";"ESP8266";"yes";"yes";"2020-08-16"
"u_GPDI5120";"Workshop-14";650322191;31;45;58;6878;43;1387;46;20;"3";"yes";"yes";"no";"STM";"no";"yes";"2019-04-12"
"PLCCISS Bosch4";"Workshop.9";491049639;13;54;54;2764;65;505;65;63;"3";"yes";"yes";"yes";"STM32";"yes";"yes";"2020-09-21"
"Iot_IoT-9";"Department24";603324423;30;53;36;383;77;-1860;46;30;"220";"yes";"yes";"yes";"ESP8266";"no";"no";"2020-04-06"
"PLC:19";"Department-36";202401925;8;9;43;4108;88;-372;27;37;"3";"yes";"yes";"yes";"ESP8266";"no";"no";"2020-01-28"
"Iot_XDK Bosch12";"Room19";682115155;18;54;100;2273;65;877;59;88;"5";"no";"no";"no";"ESP8266";"no";"yes";"2020-07-29"
"u_IIoT-5";"Place/2";735656499;23;2;88;3806;74;-1301;23;63;"220";"yes";"yes";"no";"STM";"no";"yes";"2019-09-17"
"CustomerFesto-9";"Station#37";229840088;44;41;93;4345;52;1288;76;40;"5";"no";"no";"no";"STM";"yes";"no";"2020-01-20"
"machineIoTSiemens.13";"Department.22";258402275;24;50;71;911;85;1880;72;25;"3";"yes";"no";"no";"STM32";"no";"yes";"2019-05-28"
"PLC_Siemens#1";"Station37";56007503;19;7;87;3595;21;-1935;19;54;"3";"no";"yes";"yes";"STM32";"no";"yes";"2019-10-11"
"Iot_FestoR267:7";"Workshop#32";151599805;25;19;96;4135;26;2698;31;77;"3";"no";"yes";"no";"STM";"no";"yes";"2019-11-13"
"CustomerVersaIoT22";"Room#27";68796106;16;1;90;3765;49;2588;33;23;"5";"no";"yes";"no";"ESP32";"no";"no";"2020-03-22"
"machineSensXiom_3";"Place15";359927345;41;35;28;1675;100;1109;73;49;"5";"no";"yes";"yes";"ESP8266";"no";"no";"2020-03-08"
"PLC_Bosch22";"Station-22";180617318;20;42;54;8416;25;-2400;45;33;"3";"yes";"yes";"yes";"STM";"yes";"no";"2020-04-22"
"Customer.10";"Place:24";679301973;34;47;74;6218;57;837;84;92;"220";"no";"no";"yes";"STM";"yes";"yes";"2020-10-08"
"Iot_XDK Bosch.21";"Workshop3";368190526;32;-2;31;8407;51;841;73;42;"5";"no";"no";"yes";"ESP8266";"yes";"no";"2020-07-04"
"u_Fanuc#19";"Department16";816366608;22;15;94;3865;19;1267;53;25;"220";"no";"no";"no";"STM32";"yes";"yes";"2019-07-31"
"CustomerSiemens:13";"Station15";164820803;48;8;48;3914;46;340;27;36;"3";"no";"yes";"no";"ESP32";"no";"no";"2018-12-29"
"CustomerBosch:13";"Workshop35";766215784;48;26;56;7282;98;1312;92;53;"3";"yes";"yes";"no";"STM32";"no";"no";"2019-07-05"
