"Customer";"Location";"All Time Work";"Number of sensors";"TempSen";"HumpSen";"LightSen";"AcousticsSen";"AccSen";"GyrSen";"MagSen";"Power";"Wi-Fi";"BT";"JTAG";"Board";"iOSapp";"AndroidApp";"DataGetParammetrs"
"CustomerIoTSiemens#14";"Room#41";109741072;6;1;31;4655;96;-2464;50;83;"220";"+";"yes";"Да";"ESP ";"NO;";"no";"2018-10-01"
"PLCCISS Bosch_22";"";842269902;32;46;84;8561;37;-900;94;95;"3";"Нет";"да";"Нет";",";"
";"+";"2019-12-20"
"PLCFanuc22";"";292230333;7;49;80;5824;76;-1886;58;23;"5";"+";"No information";"-";",";"No Information";"no info";"2018-05-31"
"Iot_FanucIoT/13";"";662437189;22;7;31;5427;71;-193;38;96;"5";"";"
";"да";"ESP32";"нет";"--";"2019-01-07"
"machineGPDI51_16";"";744705705;38;40;39;627;70;-2124;85;66;"3";"+";"--";"no info";"STM32";"no";"апр";"2018-06-01"
"machineFanuc-11";"";720584413;23;39;44;2327;66;1779;27;40;"220";"YES";"0";"NO;";"ESP ";"--";"Да";"2018-03-23"
"machineVersaIoT/4";"";495159516;5;1;57;3582;99;-2976;64;33;"3";"да";"Да";"No Information";";";"No information";"--";"2020-06-13"
"Iot_Bosch_22";"Room.40";384131696;3;42;56;2180;23;-2885;57;96;"3";"";"no";"апр";"ESP8266";"No Information";"yes";"2018-11-20"
"CustomerIoTSiemens:12";"Place41";814012755;26;43;94;9976;54;1527;52;31;"5";"";"N/I";"--";"STM";"Нет";"No information";"2020-02-01"
"machineVersaIoT#8";"Workshop11";212413260;44;19;99;4289;52;-201;57;27;"3";"+";"Да";"апр";",";"no info";"No information";"2020-10-26"
"CustomerFesto-4";"Station.32";39986537;30;42;67;3571;82;-1806;86;90;"5";"No information";"-";"YES";"ЕSP8266";"0";"ЂСЏР¶Рµ";"2020-05-19"
"PLCBosch_20";"Place#31";214709165;40;15;55;3836;50;1;22;97;"5";"Да";"YES";"+";",";"yes";"NO;";"2018-06-12"
"PLCXDK Bosch.16";"Room:12";295270555;39;12;67;1155;91;-1719;76;91;"3";"нет";"--";"yes";";";"N/I";"ЂСЏР¶Рµ";"2019-02-20"
"PLCXDK_15";"Department.12";594893974;2;30;75;7164;33;2692;19;47;"5";"";"да";"N/I";"STM";"Да";" ";"2018-03-29"
"u_GPDI51#20";"";145708052;44;18;79;1491;44;-2649;27;95;"5";"--";"
";"No information";"ЕSP8266";"апр";"Нет";"2018-02-18"
"Iot_CNC-3";"Room/31";888409469;41;0;65;7694;48;-1051;100;47;"3";"N/I";"нет";"Нет";"ESP8266";"no";"
";"2020-09-23"
"PLCFesto_13";"Room.6";673918835;17;-3;46;6962;57;2553;24;69;"5";"
";"YES";"апр";""""",";"-";"yes";"2019-03-23"
"u_IIoT:23";"";447567312;3;1;90;3271;21;-1989;58;54;"3";"";"No Information";"1";"STM32";"no";"--";"2019-10-30"
"PLCXDK.4";"Workshop#22";329240820;44;41;70;6537;92;370;30;42;"3";"";"+";"no info";"ESP8266";"YES";"ЂСЏР¶Рµ";"2020-03-14"
"PLCIoTSiemens:19";"";842318951;8;28;29;7931;23;-2752;78;28;"5";"";"нет";"нет";"ЕSP8266";"no";"no";"2018-04-01"
"Iot_#17";"Station_37";331446862;11;41;27;9971;28;2540;48;91;"5";"No information";"нет";"no info";",";"no info";"да";"2019-04-29"
"PLCFanuc:3";"Place#6";85228511;8;8;31;1837;86;2773;93;78;"220";"апр";"no info";"да";"STM32";"NO;";"1";"2019-09-01"
"machineVersaIoT:14";"";832132336;23;-3;27;3762;99;-192;47;76;"5";"да";"нет";"--";"ESP32";"-";"yes";"2019-03-02"
"u_Fanuc/4";"Station/28";736378114;29;18;26;679;65;824;21;82;"220";"0";"no";"да";",";"NO;";"NO";"2020-06-01"
"machineFesto_1";"Place/32";815022540;41;34;68;1715;51;-2057;47;68;"3";"";"Да";"yes";"ESP32";"no info";"--";"2020-07-17"
"PLCNewGenIoT/3";"Place#10";68896940;37;32;69;5554;59;2803;21;42;"3";"";"Да";"-";"ESP ";"--";"-";"2018-09-09"
"CustomerIIoT/20";"";338273724;24;-2;33;6872;65;-1613;39;97;"3";"";"Да";"1";""""",";"no info";"no";"2020-03-03"
"Iot_Bosch#16";"Room30";573336736;46;25;36;6071;65;-3035;96;50;"5";"";"1";"--";"ЕSP8266";"1";"ЂСЏР¶Рµ";"2019-11-07"
"PLC_Siemens.7";"";771456366;49;0;28;2411;63;2749;91;87;"3";"yes";" ";"N/I";"ЕSP8266";"no";"-";"2019-09-14"
"CustomerIIoT4";"Department/29";148589298;29;-3;84;6603;49;1336;27;31;"5";"Нет";"YES";"Нет";";";"N/I";"-";"2020-01-14"
"PLC_IIoT#3";"";624423629;26;49;71;7566;36;1721;66;44;"3";"";"no";"NO;";"ESP ";"--";"-";"2018-12-05"
"CustomerFanucIoT-8";"Workshop.7";259924485;46;13;55;4507;22;-2486;40;79;"3";"";"--";"no";";";"NO";"yes";"2018-01-31"
"CustomerNewGenIoT2";"Department:2";252312670;15;11;34;9599;85;-1709;68;75;"3";"да";"N/I";"NO";"ЕSP8266";"No information";"
";"2020-02-26"
"Iot_12";"Workshop28";176705929;46;19;93;683;96;-1966;71;50;"3";"No Information";"
";"Да";"STM32";" ";"yes";"2017-11-17"
"machineFanuc8";"Station_13";760380498;3;17;99;3421;63;-1444;72;22;"5";"-";"Да";"да";";";"NO;";"No information";"2018-03-20"
"PLCXDK Bosch:22";"";855799543;40;6;77;8621;72;2334;47;50;"3";"yes";"NO;";"NO";"STM";"NO;";"yes";"2019-07-08"
"PLCVersaIoT:10";"Workshop.36";497294776;11;28;79;250;80;2286;35;63;"3";"";"No Information";"yes";"ESP ";"yes";"
";"2020-08-29"
"CustomerBosch9";"Room:13";645547512;12;7;49;3860;54;1882;47;89;"3";"";"N/I";"апр";",";"-";"+";"2020-06-24"
"u_FestoR267/8";"";576807998;10;11;48;7145;59;-2208;58;61;"3";"нет";"No information";"NO;";""""",";"no";"YES";"2017-10-28"
"CustomerBosch16";"Station_27";335491641;19;31;97;2542;17;1973;85;40;"5";"ЂСЏР¶Рµ";"--";"no info";"ESP ";"1";"-";"2020-06-03"
"machineOSISoftIoT/4";"";395173557;18;21;85;760;80;946;25;60;"3";"+";"no";"-";"ESP32";"Нет";"1";"2019-12-02"
"Iot_Siemens.5";"";251980215;14;20;45;819;67;2093;41;25;"5";"N/I";"No information";"NO;";"STM";"0";"NO";"2019-03-28"
"CustomerCNC.6";"";542244408;45;2;36;6392;37;2386;66;50;"5";"";"0";"N/I";"ESP8266";"yes";"NO";"2018-11-09"
"CustomerFanucIoT18";"Station.34";560248430;43;37;99;3807;52;-53;62;72;"5";"";"yes";"1";",";"No Information";"-";"2019-03-16"
"machineFestoR267#22";"";711048241;36;5;62;1670;59;3040;76;66;"5";"";"+";"yes";",";"no";"
";"2020-10-24"
"PLCCNC:18";"Place15";97479507;40;11;50;7657;21;754;99;55;"3";"yes";"апр";"
";"STM";"
";"No information";"2018-02-01"
"u_CISS Bosch:21";"Place/31";868076315;15;24;50;9153;51;-1339;55;78;"3";"";"no";"1";"ESP ";"no";"NO;";"2018-08-19"
"Iot_IIoT:22";"Station-9";453625713;38;10;97;4064;25;-1663;61;72;"220";"";"no info";"0";"ESP32";"0";" ";"2020-03-26"
"Customer-15";"";484467635;49;48;32;5912;81;2943;54;79;"220";"--";"да";"Нет";"ЕSP8266";"ЂСЏР¶Рµ";"-";"2018-10-06"
"PLC_IoTSiemens#8";"Department_3";697833961;29;20;56;5607;98;2500;47;66;"3";"";"NO";"-";"STM32";"N/I";"--";"2018-11-01"
"Iot_Bosch/10";"Workshop:23";405317146;24;32;50;9101;58;952;71;76;"3";"";"NO";"-";"ESP8266";"да";"YES";"2018-06-05"
"PLC_IoT:8";"Room39";364923230;35;16;38;8179;32;2108;83;42;"220";"NO;";"yes";"да";"STM32";"ЂСЏР¶Рµ";"no";"2020-02-17"
"CustomerIoTSiemens/22";"Station22";889898992;35;40;31;1298;33;535;29;53;"3";"+";"--";"yes";"STM";"NO";"0";"2019-09-22"
"Iot_Siemens:13";"Place#23";279501359;7;5;71;1285;27;1050;49;87;"3";"";"No Information";"Да";";";"+";"no";"2018-03-17"
"PLCIoT19";"Department:18";802338189;18;10;92;3823;23;2447;43;17;"5";"";"-";"нет";"ESP8266";"No Information";"Да";"2018-02-28"
"PLC_GPDI51.20";"";651837198;2;47;54;3233;72;930;83;97;"3";"";"+";"No Information";""""",";"апр";"-";"2019-03-08"
"PLC_FanucIoT#7";"Room35";686508129;30;15;79;5368;100;-2568;44;81;"5";"
";"Да";"нет";"STM32";"1";"0";"2019-12-25"
"CustomerXDK.13";"Place/19";370347064;45;2;86;3917;38;2753;39;38;"3";"yes";" ";"YES";"ЕSP8266";"--";"Нет";"2019-11-26"
"CustomerIoTSiemens#3";"Workshop:16";546140722;29;39;27;7794;83;1038;92;95;"220";"апр";"yes";"No Information";"ESP32";"YES";"no";"2018-04-14"
"PLCSiemens-8";"Workshop-2";591690799;9;47;53;7859;86;1681;85;55;"5";"No Information";"+";"yes";"STM";"+";"YES";"2019-02-07"
"u_SensXiom21";"Department/25";310051740;10;1;54;5832;92;1657;23;87;"3";"yes";"Да";"
";"STM";"no info";"NO";"2020-03-01"
"Iot_GPDI519";"";221208759;19;-1;32;9630;73;2952;33;30;"3";"N/I";"YES";"нет";""""",";"yes";"ЂСЏР¶Рµ";"2019-01-22"
"u_IoT.14";"Department/15";294260563;32;13;54;694;64;-2240;44;75;"220";"0";"апр";"Нет";"ESP8266";"no info";"No information";"2020-10-28"
"Iot_OSISoftIoT_16";"";468150882;27;-2;92;6030;92;-491;74;19;"5";"ЂСЏР¶Рµ";"-";"+";"ESP32";"NO;";"-";"2018-05-08"
"PLCFestoR267_6";"";518589713;22;30;69;7794;85;-2859;39;83;"5";"";"Нет";"no info";"ESP32";"no info";"No information";"2020-02-24"
"machineSensXiom7";"Place12";57408553;2;-1;32;121;52;1257;38;68;"5";"1";"yes";"-";";";" ";"нет";"2019-03-27"
"CustomerCNC/22";"";249193549;7;17;76;6484;30;-2146;82;44;"220";"";"--";" ";",";"ЂСЏР¶Рµ";"-";"2020-02-13"
"Customer:22";"";241194916;8;23;34;8204;93;-845;67;62;"220";"yes";"нет";"YES";",";"NO";"N/I";"2018-09-07"
"u_:13";"";864380687;29;48;50;639;27;138;36;33;"220";"";"Да";"YES";";";"1";"Нет";"2020-05-21"
"PLCFesto10";"";93900450;23;20;40;2313;97;-250;71;31;"220";"--";"YES";"No information";""""",";"no info";"--";"2020-02-24"
"PLC_FestoR26721";"Station#15";76355935;30;49;25;1727;36;2016;21;18;"220";"no";"нет";"no info";"ESP32";"+";"-";"2020-04-26"
"u_XDK:18";"Workshop_6";676362527;48;10;39;9957;71;2193;41;24;"220";"Нет";"Нет";"
";"ЕSP8266";"апр";"ЂСЏР¶Рµ";"2019-01-16"
"machineSensXiom#13";"Place#13";454935718;24;30;42;7728;18;-1800;20;92;"220";"";"NO";"-";"ESP8266";"no info";"+";"2019-09-18"
"CustomerSensXiom:7";"Workshop#27";700936042;32;-2;94;8859;76;2471;66;67;"5";"no";"no";"-";"ESP32";"YES";"-";"2018-03-18"
"PLC_OSISoftIoT_19";"Station#35";418730026;6;27;90;4190;99;-748;20;49;"5";"";"No information";"--";"ESP8266";"да";"No information";"2020-05-10"
"PLC_GPDI51_9";"Department_9";857357884;33;33;28;7408;89;1110;63;19;"3";"";"No information";"no";",";"апр";"no";"2019-06-16"
"Iot_SensXiom6";"Workshop#31";395419977;6;30;67;8708;49;-473;56;54;"3";"-";"да";"No Information";"ESP8266";"no info";"No Information";"2019-03-03"
"Iot_SensXiom15";"";351672928;8;-3;26;2167;65;-2442;31;88;"220";"no info";"Нет";"N/I";",";"нет";"no";"2020-04-08"
"machineFesto:1";"";282273152;25;-1;51;2835;20;1659;77;96;"3";"";"No Information";"Да";"STM";"нет";"нет";"2018-11-07"
"Iot_IoT.11";"Station/2";436857145;17;1;28;8824;54;-3086;97;60;"220";"";"No information";"No Information";";";"
";"Нет";"2019-01-21"
"PLCCNC/8";"";305546910;12;40;64;9693;84;-1333;35;36;"3";"";"--";"NO";"STM32";"да";"1";"2018-08-08"
"Iot_VersaIoT/3";"";304112069;8;11;83;9976;98;-1462;25;23;"5";"";"no";"+";"ESP ";"+";" ";"2018-08-17"
"machineIoTSiemens.5";"Workshop:8";73024190;4;16;88;9731;57;-826;60;22;"3";"+";"No Information";"да";""""",";"no info";"да";"2018-08-13"
"u_Fanuc/23";"Station24";507419429;21;27;25;8139;94;-1627;25;37;"5";"-";"-";"No information";""""",";"no";"+";"2017-12-17"
"PLCGPDI5117";"";113475346;13;48;77;7108;83;-1342;82;31;"3";"";"да";"N/I";""""",";"yes";"1";"2020-06-04"
"Iot_IIoT:21";"Department.12";663587671;39;33;31;4480;17;-3012;74;66;"5";"ЂСЏР¶Рµ";"YES";"1";"STM32";"Нет";"no";"2020-08-12"
"PLC_NewGenIoT.20";"Place#36";272221017;31;6;69;2373;52;660;67;36;"3";"";"NO";"нет";""""",";"yes";"NO";"2018-12-04"
"CustomerBosch.3";"Room.38";134856950;5;9;91;8683;48;2606;81;30;"3";"";"no info";"no";"ESP8266";"yes";"NO;";"2019-11-06"
"PLC_Siemens_16";"";370970651;8;6;37;2086;86;2806;32;73;"3";"";"--";"
";"ESP8266";"no";"да";"2018-02-11"
"PLCGPDI51/9";"Department_21";879520590;3;42;88;210;57;-941;88;31;"3";"";" ";"NO;";"ESP32";"yes";"Да";"2018-03-15"
"PLCFestoR267/16";"";804160573;43;4;70;1046;17;-3043;45;56;"5";"no";"no";"1";"ЕSP8266";"No information";"+";"2020-09-15"
"PLC_VersaIoT/2";"Place/31";314246801;40;45;76;4050;82;-1069;30;69;"5";" ";"no";"да";"STM";"yes";"NO;";"2018-05-17"
"CustomerOSISoftIoT23";"Station:41";651003663;24;-3;59;4350;54;-1368;91;42;"3";"No information";"+";"Нет";""""",";"NO;";"да";"2018-06-16"
"PLC_OSISoftIoT_3";"Department.19";403968043;38;49;43;272;45;-2243;64;50;"5";"";"Да";"No Information";"ESP32";"no";"no";"2017-12-26"
"machineIIoT/10";"Workshop.36";45039134;38;35;79;4660;65;2359;100;97;"220";"";" ";"yes";"ESP32";"--";"ЂСЏР¶Рµ";"2018-02-28"
"Iot_NewGenIoT_18";"";473283836;32;49;52;2791;79;-759;25;56;"220";"NO";"
";"YES";"STM32";"-";"NO";"2020-10-17"
"CustomerGPDI51:6";"Place:21";762236979;24;17;74;5614;20;-2273;33;20;"220";"";"N/I";"ЂСЏР¶Рµ";"ESP32";"no";"NO;";"2020-02-13"
"u_XDK Bosch-1";"";584443970;27;27;94;3001;93;-1205;39;33;"220";"1";"нет";"NO";",";"NO;";"No Information";"2020-09-22"
"CustomerCISS Bosch-17";"Workshop_3";419167158;21;42;28;2925;48;779;47;94;"3";"--";"YES";"yes";"ESP32";"да";"1";"2019-06-26"
"Iot_Fanuc/1";"Room3";174618347;36;45;66;8868;56;952;35;35;"3";"NO;";" ";" ";"STM";"Нет";"YES";"2020-10-26"
"PLCSiemens_14";"";37821533;22;44;64;6864;94;-1777;41;35;"5";"апр";"Нет";"No information";"ESP ";"апр";"YES";"2020-01-19"
"PLC_NewGenIoT.5";"Place:10";177423272;16;45;83;3558;75;-2455;83;59;"3";"";"NO";"no";"ESP32";"yes";" ";"2018-12-29"
"u_Bosch:17";"";417949224;41;34;34;4086;62;-1112;33;56;"3";"no";"1";"NO";";";"1";"да";"2020-01-15"
"u_NewGenIoT:19";"Department:27";283301393;14;2;79;8656;61;2987;32;93;"3";"";"1";"No Information";"ESP ";"yes";"N/I";"2018-10-27"
"u_/10";"Place-4";831478841;38;21;67;5711;97;-2165;40;21;"3";"";"нет";"-";";";"--";"no";"2018-09-26"
"PLC_NewGenIoT14";"Room_32";379517797;23;5;83;9709;49;-2288;83;69;"5";"";"no info";"0";"ESP32";"yes";"no";"2020-09-16"
"PLC1";"";232721885;37;10;34;1474;74;-2790;73;29;"3";"No Information";"yes";"0";",";"No information";" ";"2020-04-30"
"u_NewGenIoT9";"";315095932;3;25;88;9375;55;-1117;70;57;"3";"";" ";"-";""""",";"нет";"1";"2019-08-09"
"Iot_CISS Bosch11";"Place37";784557781;23;28;95;8467;23;-948;25;56;"220";"апр";"0";"ЂСЏР¶Рµ";"ESP32";"+";"no";"2020-04-14"
"Iot_XDK Bosch20";"";138605216;29;43;55;9054;32;666;58;83;"220";"yes";"no info";"no";",";"NO;";"NO";"2018-12-28"
"u_CISS Bosch#20";"";288898081;45;40;26;8684;33;-1253;98;21;"220";"";" ";"апр";"ESP8266";"no info";"No Information";"2019-09-26"
"PLC_8";"";195306696;32;12;70;9707;61;-1770;19;85;"220";"";"no";"NO;";"ЕSP8266";"No Information";"No information";"2019-12-01"
"CustomerCISS Bosch8";"Room-4";602598717;29;39;94;1666;59;2425;36;45;"220";"";"NO;";"N/I";""""",";"-";"Да";"2020-08-17"
"CustomerXDK Bosch-11";"";760723540;6;24;35;2862;96;3052;31;69;"220";"NO";"yes";"no info";"STM";"ЂСЏР¶Рµ";"Да";"2020-07-19"
"PLCXDK Bosch#18";"";703418603;13;37;67;6016;64;1672;35;17;"3";"--";"да";"YES";"STM32";"N/I";"--";"2020-10-18"
"PLCSiemens12";"";523690056;40;3;100;2182;53;-892;48;38;"3";"";"no info";"-";"STM";" ";"
";"2019-05-05"
"PLC_OSISoftIoT#18";"Station_33";353670739;30;13;89;518;73;1487;66;29;"220";"no";"N/I";"yes";"ЕSP8266";"ЂСЏР¶Рµ";"NO;";"2018-03-03"
"Iot_Festo/16";"Place20";38154299;14;23;74;3365;32;1358;84;28;"5";"-";"No information";"нет";""""",";"-";"--";"2019-03-14"
"CustomerSiemens/4";"Station26";846519655;21;50;99;2004;94;2549;68;34;"5";"да";"N/I";"Нет";"ЕSP8266";"апр";"Нет";"2020-06-04"
"CustomerBosch_11";"Place20";816794891;39;8;45;6546;42;-2389;100;100;"3";" ";"
";"no";"ESP8266";"No Information";"+";"2018-04-24"
"u_IIoT:14";"";812579538;29;11;41;3648;37;2387;72;57;"3";"No information";"нет";"+";";";"нет";"--";"2019-11-21"
"Customer7";"Station42";343700155;49;22;76;2654;72;840;95;80;"5";"NO";"No Information";"no info";"ЕSP8266";"Нет";"апр";"2020-04-25"
"u_Festo#17";"";155717160;3;21;52;8380;27;-2255;83;40;"3";"YES";"+";"0";",";"-";"yes";"2020-07-01"
"u_Festo_1";"";17157026;40;33;72;3509;84;1731;87;35;"5";"--";"+";"0";"STM32";"N/I";"No Information";"2019-03-31"
"u_FanucIoT16";"Workshop19";626552444;21;29;61;8370;96;-1954;98;31;"3";"YES";"NO";"no info";"STM32";"Нет";"No information";"2018-08-18"
"CustomerNewGenIoT:7";"Department40";798065152;11;21;91;5390;51;2863;95;44;"3";"No Information";"N/I";"1";"STM";"Да";"no info";"2018-11-08"
"u_Fanuc#5";"";149266019;44;30;88;4402;78;-2665;99;88;"3";"";"0";"-";";";"апр";"No information";"2017-11-21"
"u_Festo_5";"Room#34";25570600;6;2;35;7540;52;-1111;68;20;"5";"";"-";"+";",";"
";"+";"2018-12-22"
"PLC_Fanuc-4";"";444534937;6;36;53;3738;64;2085;74;64;"3";"";"Нет";"ЂСЏР¶Рµ";",";"YES";"N/I";"2018-04-26"
"machineIoTSiemens#4";"Place#41";547173300;2;11;85;957;61;-1783;24;91;"5";"no";"no info";"-";",";"нет";"yes";"2020-10-26"
"u_IoT:21";"";322371097;36;41;78;1696;81;659;72;57;"3";"";"yes";"no info";""""",";"No information";"Нет";"2018-10-04"
"CustomerVersaIoT/6";"Station30";742661288;27;38;39;3715;99;3084;52;21;"5";"";"yes";"NO";"ЕSP8266";"no";"no";"2019-05-27"
"machineFanucIoT#14";"";764957446;20;49;79;2047;56;-1252;29;21;"5";"N/I";"no";"no";"STM";"yes";"No information";"2018-07-18"
"PLCIoTSiemens-19";"Room-41";148861981;37;49;30;9986;78;-2256;42;94;"5";"";"Да";"No information";"ESP8266";"No Information";"No information";"2019-03-27"
"PLC_OSISoftIoT_12";"Department#22";515758871;7;22;54;2101;75;-1487;47;37;"5";"";"Нет";"No information";"STM32";"no info";"да";"2019-08-19"
"Iot_NewGenIoT.1";"";603352423;30;2;27;7847;36;-1231;31;86;"5";"";"No information";"no";"ESP ";"0";"N/I";"2018-01-31"
"CustomerIoT-18";"";263722691;36;18;35;2700;98;-2756;45;38;"5";"
";"no";"апр";",";"1";"NO;";"2018-04-01"
"Iot_XDK Bosch12";"";725545013;42;45;100;2273;65;877;60;88;"5";"0";"no";"нет";"ESP ";"да";"да";"2018-06-11"
"u_CNC:4";"";735684499;23;2;88;3806;74;-1301;24;63;"220";"yes";"+";"Нет";";";"
";"NO;";"2020-10-14"
"PLC_FestoR267.3";"Workshop-19";734263025;45;31;58;4683;85;732;41;34;"3";"NO;";"No Information";" ";"ESP8266";"+";"1";"2018-10-01"
"PLC_IoTSiemens.13";"Department.22";54182441;35;35;80;1197;54;1634;23;98;"5";" ";"ЂСЏР¶Рµ";"no info";"ESP ";" ";"yes";"2018-01-05"
"CustomerNewGenIoT10";"Place15";315069678;5;17;46;1366;70;2477;52;38;"5";"No Information";"
";"
";""""",";"--";"0";"2020-04-05"
"machineOSISoftIoT.3";"Station9";745609478;24;27;37;659;100;1152;77;60;"220";"";"No information";"yes";";";"No information";"No Information";"2020-07-08"
"Iot_XDK7";"";796029690;47;15;94;5929;52;658;36;25;"5";"no";"no";"
";";";"NO";"No Information";"2020-02-03"
"u_Siemens1";"";537527325;43;3;100;8594;80;2505;23;28;"3";"";"Нет";"yes";"ESP32";"ЂСЏР¶Рµ";"No information";"2020-05-19"
"u_CISS Bosch.6";"Place:9";306875245;1;43;34;3327;53;-1475;57;62;"220";"NO;";" ";"YES";";";"да";"Нет";"2020-09-18"
"machineIIoT-10";"Place-5";237451509;42;45;75;277;19;-291;81;19;"3";"Нет";"no info";"NO";",";"+";"no info";"2018-02-18"
"Iot_GPDI51-6";"";614101941;40;41;91;8667;100;562;47;60;"3";"";"Да";"+";"ESP32";"Нет";"N/I";"2017-12-07"
"machineSensXiom4";"";882672474;3;10;44;3073;40;-1186;47;70;"3";"ЂСЏР¶Рµ";"Нет";"да";""""",";"no info";"+";"2018-05-08"
"u_VersaIoT/20";"";428030924;32;32;97;7846;83;2745;76;48;"5";"";" ";"--";"ESP32";"YES";"NO";"2020-07-09"
"PLC_NewGenIoT#7";"Place_36";663395913;36;49;41;4739;22;483;35;66;"3";"";"No Information";"1";"ESP ";"NO";"YES";"2018-08-15"
"machineIIoT#6";"Department/32";784249197;17;13;59;2703;30;561;60;52;"220";"--";"да";"+";"STM32";"нет";"--";"2020-05-25"
"machineSiemens.20";"Department:28";746048230;5;4;31;1602;84;-651;48;18;"5";"";"yes";"1";"STM32";"апр";"Да";"2020-04-08"
"machineSiemens_23";"Room-25";199250193;34;31;59;2555;73;-231;81;57;"3";"Нет";"NO;";"
";"ЕSP8266";" ";"no";"2018-04-30"
"CustomerBosch/15";"Place#2";54684894;32;43;75;3400;27;-2961;95;65;"5";"да";"
";"No information";";";" ";"no";"2019-06-26"
"CustomerBosch_3";"Room#41";428725382;45;14;66;6129;73;2131;32;57;"220";"yes";"да";"YES";"ESP ";"No information";"yes";"2018-03-18"
"machineCNC20";"Workshop-34";197768009;18;17;96;7258;98;-2469;21;39;"5";"";"yes";"ЂСЏР¶Рµ";"ESP ";"1";"no info";"2019-05-24"
"CustomerCNC20";"";889027431;44;46;65;991;21;-758;38;53;"3";"0";"да";"No Information";"ESP8266";"-";"No Information";"2018-04-25"
"Iot_Fanuc#4";"";345786599;41;26;28;1085;85;1276;38;70;"5";"yes";"--";"1";"STM32";"
";"апр";"2017-12-22"
"PLCOSISoftIoT:5";"";702450293;45;6;67;7294;47;-2778;67;53;"3";"yes";"yes";"YES";""""",";" ";"-";"2020-05-24"
"u_IoT/9";"Place_37";594448281;36;12;73;9062;32;204;49;60;"220";"no";"нет";"NO";"STM32";"--";"yes";"2017-11-29"
"PLCXDK Bosch2";"Place:15";331804416;33;38;54;6123;19;492;29;92;"3";"N/I";"yes";"Да";"STM32";"YES";"no";"2018-08-25"
"CustomerGPDI51:16";"";371683339;17;35;64;396;75;-1806;89;85;"3";"--";"NO;";"N/I";"ESP32";"yes";"No Information";"2018-08-10"
"Iot_CNC-13";"";455726422;43;26;28;422;26;1356;89;91;"5";"";"+";"no info";"STM";"да";"YES";"2018-05-07"
"Iot_Siemens-10";"Room-10";682198466;25;33;97;266;92;-308;83;64;"3";"";"NO;";"yes";""""",";"да";"+";"2019-11-10"
"CustomerFesto#14";"Place/21";896043499;34;46;59;9492;46;-1685;87;51;"3";"YES";"no info";"NO";"STM32";"No information";"NO";"2018-09-19"
"Iot_FestoR267_23";"";72463254;33;17;41;9575;89;1386;69;60;"3";"NO;";"yes";"
";"STM32";"да";"No information";"2018-01-29"
"CustomerOSISoftIoT.22";"";404369159;26;10;65;7703;53;-3084;53;51;"3";"";"1";"апр";"ESP8266";"-";"ЂСЏР¶Рµ";"2020-09-16"
"u_Siemens/3";"Department_12";441586012;43;33;88;1521;57;1181;55;85;"3";"";"-";"yes";",";"Да";"0";"2017-12-01"
"PLCCNC_3";"Room-2";143755141;25;14;46;9616;48;-2157;44;52;"3";"";"yes";"No information";"STM32";"no info";"yes";"2020-02-19"
"Iot_Festo_9";"Place#41";445103449;42;19;51;160;79;2517;68;69;"5";"no info";"ЂСЏР¶Рµ";"yes";""""",";"
";"ЂСЏР¶Рµ";"2019-08-19"
"PLC_IoT:21";"";253275584;25;19;84;1377;67;1084;50;25;"220";"Да";"ЂСЏР¶Рµ";"+";"STM32";"--";" ";"2020-06-17"
